point_id,latitude,longitude,arrondissement,heat_class,heat_label,total_features,collisions_n,collisions_victimes,collisions_morts,collisions_blesses_graves,collisions_blesses_legers,collisions_gravite_pire,permis_n,permis_logements,permis_types_top,entraves_n,entraves_actives,entraves_raisons_top,entraves_fin_derniere,arbres_n,arbres_especes_top,arbres_dhp_moyen,emplacements_arbres_n
P00816,45.5096,-73.5608,Ville-Marie,4,Température plus chaude que la moyenne (à risque),5,1,0,0,0,0,Dommages matériels,0,0,,0,0,,,2,Orme Homestead(1); Orme de Sibérie(1),16,2
P00817,45.5096,-73.5606,Ville-Marie,4,Température plus chaude que la moyenne (à risque),4,2,1,0,0,1,Léger,0,0,,0,0,,,1,Chicot du Canada(1),5,1
P00818,45.5096,-73.5596,Ville-Marie,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,0,0,,0,0,,,2,Platane occidental(2),5,2
P00819,45.5096,-73.5594,Ville-Marie,4,Température plus chaude que la moyenne (à risque),6,0,0,0,0,0,,2,64,Démolition(1); Construction(1),0,0,,,2,Platane occidental(2),5,2
P00820,45.5096,-73.5592,Ville-Marie,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,0,0,,0,0,,,2,Platane occidental(2),5,2
P00821,45.5096,-73.559,Ville-Marie,5,Îlot de chaleur,3,0,0,0,0,0,,1,-5,Démolition(1),0,0,,,1,Lilas japonais Ivory Silk(1),5,1
P00822,45.5096,-73.5588,Ville-Marie,5,Îlot de chaleur,2,0,0,0,0,0,,0,0,,0,0,,,1,Lilas japonais Ivory Silk(1),5,1
P00823,45.5096,-73.5578,Ville-Marie,4,Température plus chaude que la moyenne (à risque),3,0,0,0,0,0,,0,0,,0,0,,,0,,,3
P00824,45.5096,-73.5576,Ville-Marie,4,Température plus chaude que la moyenne (à risque),1,0,0,0,0,0,,1,0,Transformation(1),0,0,,,0,,,0
P00825,45.5096,-73.5574,Ville-Marie,4,Température plus chaude que la moyenne (à risque),41,37,11,0,1,10,Grave,2,0,Démolition(1); Transformation(1),0,0,,,1,Févier Skyline(1),28,1
P00826,45.5096,-73.5572,Ville-Marie,4,Température plus chaude que la moyenne (à risque),4,3,2,0,0,2,Léger,1,30,Construction(1),0,0,,,0,,,0
P00827,45.5096,-73.557,Ville-Marie,4,Température plus chaude que la moyenne (à risque),12,0,0,0,0,0,,0,0,,0,0,,,6,Érable à sucre(2); Orme Morton (Accolade TM)(2); Amelanchier laevis(1),5,6
P00828,45.5096,-73.5568,Ville-Marie,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,2,0,Certificat d'autorisation(1); Construction(1),0,0,,,1,Érable à sucre(1),5,1
P00829,45.5096,-73.5554,Ville-Marie,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,0,0,,0,0,,,2,Orme Morton (Accolade TM)(1); Orme de Sibérie(1),14,2
P00830,45.5096,-73.5552,Ville-Marie,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,0,,,2
P00831,45.5094,-73.5794,Ville-Marie,5,Îlot de chaleur,9,7,3,0,0,3,Léger,2,0,Transformation(2),0,0,,,0,,,0
P00832,45.5094,-73.5792,Le Plateau-Mont-Royal,5,Îlot de chaleur,4,0,0,0,0,0,,0,0,,0,0,,,2,Érable à Giguère(2),23.5,2
P00833,45.5094,-73.579,Le Plateau-Mont-Royal,5,Îlot de chaleur,3,0,0,0,0,0,,3,0,T1:Transformation ext/PA/PIIA(2); Transformation combinée(1),0,0,,,0,,,0
P00834,45.5094,-73.5784,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),5,0,0,0,0,0,,5,0,T1:Transformation ext/PA/PIIA(3); Transformation combinée(2),0,0,,,0,,,0
P00835,45.5094,-73.5778,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,2,0,Transformation combinée(1); Autorisation d'Abattage(1),0,0,,,0,,,0
P00836,45.5094,-73.5772,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,7,2,0,0,0,0,Dommages matériels (sous seuil),2,0,Transformation combinée(2),0,0,,,1,Érable à Giguère(1),47.4,2
P00837,45.5094,-73.577,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,14,0,0,0,0,0,,10,0,Transformation combinée(10),0,0,,,2,Micocoulier occidental(1); Orme d'Amérique Brandon(1),5,2
P00838,45.5094,-73.5768,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,4,0,0,0,0,0,,0,0,,0,0,,,2,Frêne de Pennsylvanie Marshall Seedless(1); Orme Pioneer(1),25,2
P00839,45.5094,-73.5766,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,11,3,0,0,0,0,Dommages matériels,2,0,Transformation combinée(2),0,0,,,3,Érable de Norvège(1); Orme Pioneer(1); Érable de Norvège Emerald Queen(1),20.7,3
P00840,45.5094,-73.5764,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,1,0,0,0,0,0,,1,0,Transformation combinée(1),0,0,,,0,,,0
P00841,45.5094,-73.5762,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,9,0,0,0,0,0,,9,0,Transformation combinée(6); T2:Transf ext/PA  non requis(3),0,0,,,0,,,0
P00842,45.5094,-73.576,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,2,0,0,0,0,0,,2,0,Transformation combinée(2),0,0,,,0,,,0
P00843,45.5094,-73.5758,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,3,0,0,0,0,0,,3,0,Transformation combinée(1); T1:Transformation ext/PA/PIIA(1); T2:Transf ext/PA  non requis(1),0,0,,,0,,,0
P00844,45.5094,-73.5756,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,6,0,0,0,0,0,,4,0,Transformation combinée(3); Démolition(1),0,0,,,1,Érable de Norvège(1),39,1
P00845,45.5094,-73.5754,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,4,0,0,0,0,0,,0,0,,0,0,,,2,Érable de Norvège colonnaire(1); Érable de Norvège(1),31,2
P00846,45.5094,-73.5752,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,2,0,0,0,0,0,,0,0,,0,0,,,0,,,2
P00847,45.5094,-73.574,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Chicot du Canada 'Espresso'(1),5,1
P00848,45.5094,-73.5738,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,1,0,Transformation combinée(1),1,1,Construction/rénovation sans excavation(1),2026-06-12,1,Aesculus octandra(1),5,1
